miRNA_ID	p1normal_read_count	p2normal_read_count	p3normal_read_count	p4normal_read_count	p1tumor_read_count	p2tumor_read_count	p3tumor_read_count	p4tumor_read_count
hsa-let-7a-1	7457	14978	14831	18885	11763	13252	14506	6055
hsa-let-7a-2	7351	14904	15109	19142	11992	13129	14299	5945
hsa-let-7a-3	7449	14974	15113	18995	11822	13104	14183	6018
hsa-let-7b	76243	76166	108274	85008	15937	27853	31896	9392
hsa-let-7c	2766	2292	1684	2533	1488	2432	3130	141
hsa-let-7d	5277	4036	5182	9033	810	833	1061	532
hsa-let-7e	633	1082	749	1450	669	1226	934	283
hsa-let-7f-1	109	250	226	458	6781	6222	6295	3320
hsa-let-7f-2	96	234	257	490	6970	6350	6277	3232
hsa-let-7g	73	136	245	430	1001	913	932	531
hsa-let-7i	233	317	485	468	631	909	1046	245
hsa-mir-1-1	2	0	0	1	108	223	220	14
hsa-mir-1-2	0	0	0	1	126	258	232	9
hsa-mir-100	904	1402	1819	1748	3434	7884	8067	1068
hsa-mir-101-1	94	57	91	41	5144	10575	11920	3208
hsa-mir-101-2	90	68	78	41	5141	10329	11782	3249
hsa-mir-103a-1	2146	3082	5794	2419	12324	8432	11866	6390
hsa-mir-103a-2	2086	3100	5859	2423	12378	8593	11834	6457
hsa-mir-103b-1	0	0	0	0	0	0	0	0
hsa-mir-103b-2	0	0	0	0	0	0	0	0
hsa-mir-105-1	5	3	5	4	0	3	0	2
hsa-mir-105-2	1	5	4	3	0	4	0	1
hsa-mir-106a	5	1	5	2	162	67	64	101
hsa-mir-106b	596	650	541	590	928	609	837	481
hsa-mir-107	22	30	36	21	87	107	116	69
hsa-mir-10a	3790	5124	17938	9400	76472	170648	93308	56435
hsa-mir-10b	4447	4219	10967	5327	52719	81285	195191	39944
hsa-mir-1178	0	0	0	0	0	0	0	0
hsa-mir-1179	0	0	0	0	0	0	0	0
hsa-mir-1180	123	113	91	136	9	11	9	4
hsa-mir-1181	0	0	1	2	0	1	0	1
hsa-mir-1182	0	0	0	0	0	0	0	0
hsa-mir-1183	0	0	0	0	0	0	0	0
hsa-mir-1184-1	0	0	0	0	0	0	0	0
hsa-mir-1184-2	0	0	0	0	0	0	0	0
hsa-mir-1184-3	0	0	0	0	0	0	0	0
hsa-mir-1185-1	0	0	0	0	1	0	1	1
hsa-mir-1185-2	0	0	0	0	1	0	0	0
hsa-mir-1193	1	0	0	0	0	0	0	0
hsa-mir-1197	0	0	0	1	0	1	0	0
hsa-mir-1199	0	0	0	0	0	0	0	0
hsa-mir-1200	0	0	0	0	0	0	0	0
hsa-mir-1202	0	0	0	0	0	0	0	0
hsa-mir-1203	0	0	0	0	0	0	0	0
hsa-mir-1204	0	0	0	0	0	0	0	0
hsa-mir-1205	0	0	0	0	0	0	0	0
hsa-mir-1206	0	0	0	0	0	0	0	0
hsa-mir-1207	0	0	0	0	0	0	0	0
hsa-mir-1208	0	0	0	0	0	0	0	0
hsa-mir-122	0	0	1	0	0	0	0	0
hsa-mir-1224	16	87	17	33	0	0	0	0
hsa-mir-1225	0	0	2	0	0	0	0	0
hsa-mir-1226	11	8	8	24	1	1	1	0
hsa-mir-1227	1	1	2	7	0	0	0	0
hsa-mir-1228	4	2	9	7	0	1	1	0
hsa-mir-1229	5	1	4	2	2	0	0	0
hsa-mir-1231	0	0	0	0	0	0	0	0
hsa-mir-1233-1	0	0	0	0	0	0	0	0
hsa-mir-1233-2	0	0	0	0	0	0	0	0
hsa-mir-1234	0	0	0	1	0	0	0	0
hsa-mir-1236	0	0	0	1	0	0	0	0
hsa-mir-1237	0	0	0	1	0	0	1	0
hsa-mir-1238	0	0	0	0	0	0	0	0
hsa-mir-124-1	0	0	0	0	0	0	0	0
hsa-mir-124-2	0	0	0	0	0	1	0	0
hsa-mir-124-3	0	0	0	0	0	0	0	0
hsa-mir-1243	0	0	0	0	0	0	0	0
hsa-mir-1244-1	0	0	0	0	0	0	0	0
hsa-mir-1244-2	0	0	0	0	0	0	0	0
hsa-mir-1244-3	0	0	0	0	0	0	0	0
hsa-mir-1244-4	0	0	0	0	0	0	0	0
hsa-mir-1245a	0	0	0	0	6	5	8	1
hsa-mir-1245b	0	0	0	0	0	1	0	0
hsa-mir-1246	0	0	0	0	0	1	0	0
hsa-mir-1247	122	78	210	159	150	937	98	420
hsa-mir-1248	3	9	11	12	33	9	2	2
hsa-mir-1249	9	7	9	20	2	1	3	2
hsa-mir-1250	0	0	0	1	0	0	0	0
hsa-mir-1251	0	0	0	0	0	0	0	0
hsa-mir-1252	0	0	0	0	0	0	0	0
hsa-mir-1253	0	0	0	0	0	0	0	0
hsa-mir-1254-1	2	2	1	1	0	0	1	0
hsa-mir-1254-2	2	2	1	2	2	1	0	0
hsa-mir-1255a	0	0	0	0	0	0	2	0
hsa-mir-1255b-1	0	0	0	0	0	0	0	0
hsa-mir-1255b-2	0	0	0	0	0	0	0	0
hsa-mir-1256	0	0	0	0	0	1	0	0
hsa-mir-1257	0	0	0	0	0	0	0	1
hsa-mir-1258	0	2	0	0	1	4	2	0
hsa-mir-125a	4403	3934	3739	4120	493	1285	875	246
hsa-mir-125b-1	737	650	555	1067	245	651	484	57
hsa-mir-125b-2	755	634	557	1103	234	625	497	39
hsa-mir-126	94	56	179	256	5913	7970	8519	2513
hsa-mir-1260a	0	0	0	0	0	0	0	0
hsa-mir-1260b	2	1	0	1	0	0	0	0
hsa-mir-1261	0	0	0	0	0	0	0	0
hsa-mir-1262	1	1	1	2	1	1	3	2
hsa-mir-1263	0	0	0	0	0	0	0	0
hsa-mir-1264	0	0	0	0	0	0	0	0
hsa-mir-1265	1	0	1	0	0	0	0	0
hsa-mir-1266	40	30	48	41	11	13	15	12
hsa-mir-1267	0	0	0	0	0	0	0	0
hsa-mir-1268a	0	0	0	0	0	0	0	0
hsa-mir-1268b	0	0	0	0	0	0	0	0
hsa-mir-1269a	7	0	130	3	316	1	2	0
hsa-mir-1269b	6	0	10	6	173	19	0	4
hsa-mir-127	1591	1527	2071	2021	1493	3104	1792	626
hsa-mir-1270	2	0	2	2	0	0	1	1
hsa-mir-1271	7	6	10	3	4	17	14	2
hsa-mir-1272	0	0	0	0	0	0	0	0
hsa-mir-1273a	0	0	0	0	0	0	0	0
hsa-mir-1273c	0	0	0	0	0	0	0	0
hsa-mir-1273d	0	0	0	0	0	0	0	0
hsa-mir-1273e	0	0	0	0	0	0	0	0
hsa-mir-1273f	0	0	0	0	0	0	0	0
hsa-mir-1273g	0	0	0	0	0	0	0	0
hsa-mir-1273h	0	0	0	0	0	0	0	0
hsa-mir-1275	1	2	3	3	0	2	1	2
hsa-mir-1276	0	0	0	0	1	0	0	0
hsa-mir-1277	0	0	0	0	7	3	4	2
hsa-mir-1278	0	0	0	0	0	0	1	0
hsa-mir-1279	0	0	0	0	0	0	0	0
hsa-mir-128-1	52	61	56	58	125	97	136	75
hsa-mir-128-2	21	30	48	20	71	66	87	26
hsa-mir-1281	0	0	0	0	0	0	0	0
hsa-mir-1282	0	0	0	0	0	0	0	0
hsa-mir-1283-1	0	0	0	0	0	0	0	0
hsa-mir-1283-2	0	0	0	0	0	0	0	0
hsa-mir-1284	0	0	0	0	0	0	0	0
hsa-mir-1285-1	0	0	0	0	0	0	0	0
hsa-mir-1285-2	0	0	0	0	0	0	0	0
hsa-mir-1286	0	0	0	0	0	0	0	0
hsa-mir-1287	31	25	44	39	42	61	45	14
hsa-mir-1288	0	0	1	1	0	1	0	0
hsa-mir-1289-1	0	0	0	0	0	0	0	0
hsa-mir-1289-2	0	0	0	0	0	0	0	0
hsa-mir-129-1	48	49	26	86	2	11	3	3
hsa-mir-129-2	55	48	21	84	1	16	3	0
hsa-mir-1290	0	0	0	0	0	0	0	0
hsa-mir-1291	2	0	2	5	0	0	0	0
hsa-mir-1292	1	1	1	2	1	0	0	0
hsa-mir-1293	0	0	1	0	0	0	1	0
hsa-mir-1294	0	0	0	0	0	1	0	0
hsa-mir-1295a	1	1	3	28	0	0	0	0
hsa-mir-1295b	0	0	0	0	0	0	0	0
hsa-mir-1296	22	13	45	117	0	5	5	1
hsa-mir-1297	0	0	0	0	0	0	0	0
hsa-mir-1298	0	0	0	0	0	0	0	0
hsa-mir-1299	0	0	0	0	0	0	0	0
hsa-mir-1301	8	9	19	19	10	7	13	1
hsa-mir-1302-1	0	0	0	0	0	0	0	0
hsa-mir-1302-10	0	0	0	0	0	0	0	0
hsa-mir-1302-11	0	0	0	0	0	0	0	0
hsa-mir-1302-2	0	0	0	0	0	0	0	0
hsa-mir-1302-3	0	0	0	0	0	0	0	0
hsa-mir-1302-4	0	0	0	0	0	0	0	0
hsa-mir-1302-5	0	0	0	0	0	0	0	0
hsa-mir-1302-6	0	0	0	0	0	0	0	0
hsa-mir-1302-7	0	0	0	0	0	0	0	0
hsa-mir-1302-8	0	0	0	0	0	0	0	0
hsa-mir-1302-9	0	0	0	0	0	0	0	0
hsa-mir-1303	0	0	0	0	0	0	0	0
hsa-mir-1304	0	0	0	20	0	0	0	14
hsa-mir-1305	0	0	0	0	0	0	1	0
hsa-mir-1306	102	69	62	150	10	8	9	1
hsa-mir-1307	5684	8308	8485	4423	1175	2080	1474	1500
hsa-mir-130a	9	4	19	18	65	101	131	23
hsa-mir-130b	32	34	71	39	60	55	70	33
hsa-mir-132	183	377	466	181	110	312	185	71
hsa-mir-1321	0	0	0	0	0	0	0	0
hsa-mir-1322	0	0	0	0	0	0	0	0
hsa-mir-1323	0	0	0	0	0	0	0	0
hsa-mir-1324	0	0	0	0	0	0	0	0
hsa-mir-133a-1	169	94	54	389	20	129	48	3
hsa-mir-133a-2	165	100	60	348	33	94	45	4
hsa-mir-133b	9	9	2	74	6	42	15	0
hsa-mir-134	219	186	217	172	570	1191	621	327
hsa-mir-1343	2	2	6	12	0	0	0	0
hsa-mir-135a-1	1	1	1	0	0	1	1	0
hsa-mir-135a-2	0	0	0	0	0	0	0	0
hsa-mir-135b	0	0	0	1	43	84	226	68
hsa-mir-136	3	0	1	1	130	168	146	41
hsa-mir-137	0	1	0	1	1	3	1	0
hsa-mir-138-1	1	2	2	0	0	0	0	0
hsa-mir-138-2	0	0	0	1	0	0	1	1
hsa-mir-139	1004	615	671	1855	111	278	85	23
hsa-mir-140	1934	1601	2352	2148	918	1385	1518	384
hsa-mir-141	34	42	90	68	2311	1967	2249	1783
hsa-mir-142	25	21	35	11	4367	8439	7805	3648
hsa-mir-143	9891	9383	9090	42059	281667	804111	604739	79664
hsa-mir-144	4	3	0	2	222	263	171	60
hsa-mir-145	37149	17473	17717	79748	6326	19517	15923	1081
hsa-mir-1468	19	18	33	25	4	12	15	1
hsa-mir-1469	0	0	0	0	0	0	0	0
hsa-mir-146a	15	39	86	25	88	159	220	163
hsa-mir-146b	298	485	989	422	963	1277	1750	430
hsa-mir-1470	0	0	0	0	0	0	0	0
hsa-mir-1471	0	0	0	0	0	0	0	0
hsa-mir-147a	0	0	0	0	0	0	0	0
hsa-mir-147b	0	2	0	3	1	2	2	1
hsa-mir-148a	3581	3962	8228	2304	212179	117897	74365	104525
hsa-mir-148b	98	99	172	225	190	285	232	109
hsa-mir-149	143	88	97	564	38	36	18	10
hsa-mir-150	2408	4616	4677	3490	232	1203	675	425
hsa-mir-151a	407	475	893	763	3600	3971	3516	2008
hsa-mir-151b	0	1	6	3	3	6	0	1
hsa-mir-152	10	7	21	22	322	747	620	170
hsa-mir-153-1	0	0	0	0	2	1	2	2
hsa-mir-153-2	0	0	0	0	72	167	41	71
hsa-mir-1537	0	0	0	0	1	0	0	0
hsa-mir-1538	3	0	2	8	0	0	0	0
hsa-mir-1539	0	1	0	0	0	0	0	0
hsa-mir-154	3	3	16	4	21	17	27	6
hsa-mir-155	83	134	205	84	219	384	434	234
hsa-mir-1587	0	0	0	0	0	0	0	0
hsa-mir-15a	4	10	20	4	341	118	213	189
hsa-mir-15b	497	833	1762	1108	228	193	162	129
hsa-mir-16-1	8	7	25	26	674	523	590	489
hsa-mir-16-2	5	11	21	24	697	531	555	495
hsa-mir-17	77	158	267	72	4716	1102	1822	2149
hsa-mir-181a-1	2816	3362	5246	1884	590	1095	1107	393
